id,codigo_dane,municipio,institucion,latitud,longitud,georef_estado,georef_nota,afectacion_pct,nivel_afectacion,instituciones_texto_fuente,necesidades_prioritarias_fuente,aro_uesvalle
HOSP_011,76130,Candelaria,Hospital Local de Candelaria,3.410291,-76.34647,OFICIAL_DATOS_ABIERTOS,"La fuente reporta necesidades de respuesta, sin porcentaje de daño estructural.",,Sin porcentaje / pendiente,"| Hospital Local | PUESTO DE SALUD CORREGIMIENTO EL CARMELO, | PUESTO DE SALUD DEL CORREGIMIENTO DE VILLAGORGONA","Hospital Local de Candelaria E.S.E. se necesitaría contar con un stock de labetalol, oxitocina y methergin y catgut cromado 2/0 - LA DISPOCISIÓN EN LA PRESTACIÓN DE SALUD ES PRIORITARIA EN CASOS URGENTES O VITALES A PERSONAS AFECTADAS POR EL SISMO, MEDICINA INTERNA OYCASOS MODERADOS SE ESTÁ ATENDIENDO, COMO APOYO TRANSVERSAL A LA EMERGENCIA SE REALIZA ACTIVIDADES EN CAMPO POR PARTE DEL EQUIPO DE SALUD COMO DONACIÓN DE SANGRE Y ATENCIÓN PSICOLÓGICA",ARO Sur - Cali
HOSP_012,76147,Cartago,Hospital Universitario del Valle Evaristo García E.S.E. – Sede Cartago,4.74639,-75.91167,APROX_CABECERA_DIRECCION_CONFIRMADA,Carrera 3B con Calle 2 esquina. Coordenada aproximada; validar predio antes de publicación final.,,Sin porcentaje / pendiente,HUV CARTAGO | IPS MUNICIPAL | CLINICA CONFANDI,Se requiere | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR,ARO Norte - Cartago
HOSP_013,76233,Dagua,Hospital José Rufino Vivas,3.656143,-76.686524,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,30,Alta,Hospital Jose Rufino Vivas,"Afectacion del 30%), hay reubicacion de la atencion de urgencias al parque. Se requiere | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR",ARO Sur - Cali
HOSP_014,76243,El Águila,Hospital San Rafael de El Águila,4.911247,-76.041672,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,100,Colapso,Hospital San Rafael del Aguila,Totalmente colapsado (Afetacion del 100%) / El hospital se trasladado provisionalmente a un hostal del municipio | EVALUACION PARA DEFINIR PLAN DE OBRA Y VALOR,ARO Norte - Cartago
HOSP_015,76246,El Cairo,Hospital Santa Catalina,4.759761,-76.221771,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,15,Moderada,Hospital Santa Catalina,EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR | agretiamiento y fisuras en el servicio de hospitalizacion (Afectacion del 15%) | Insumos médicos prioritarios para emergencias,ARO Norte - Cartago
HOSP_016,76248,El Cerrito,Hospital San Rafael de El Cerrito,3.688366,-76.314443,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,20,Moderada,Hospital San Rafael de El Cerrito,Grietas (Afectación del 20%) | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR,ARO Sur - Cali
HOSP_017,76250,El Dovio,Hospital Santa Lucía,4.510971,-76.23927,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,10,Moderada,Hospital Santa Lucía,Grietas (Afectación del 10%) | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR,ARO Norte - Cartago
HOSP_018,76275,Florida,Hospital Benjamín Barney Gasca,3.32281,-76.224674,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,10,Moderada,Hospital Benjamin Barney,Grietas (Afectación del 10%) | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR,ARO Sur - Cali
HOSP_019,76306,Ginebra,Hospital El Rosario,3.723109,-76.26828,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,0,Sin afectación reportada,Hospital El Rosario,Sin necesidades prioritarias,ARO Sur - Cali
HOSP_020,76318,Guacarí,Hospital San Roque,3.763413,-76.336506,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,0,Sin afectación reportada,Hospital San Roque,Sin necesidades prioritarias,ARO Sur - Cali
HOSP_021,76364,Jamundí,Hospital Piloto de Jamundí,3.256958,-76.539245,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,20,Moderada,HOSPITAL PILOTO DE JAMUNDI,"AFECTACION EN INFRAESTRUCTURA DE AREA ADMINISTRATUVA, PISO 2 | 20% DE AFECTACION.Afectacion en infraestructura de área administrativa piso 2, baño facturación urgencias, salud oral, planificación, fachada área urgencias | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR",ARO Sur - Cali
HOSP_022,76377,La Cumbre,Hospital Santa Margarita,3.650412,-76.567953,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,30,Alta,HOSPITAL SANTA MARGARITA PUESTO DE SALUD JIGUALES PUESTO DE SALUD LA MARIA,"Colapso la cubierta techo y cielo falso de consulta externa, odontologia y fisioterapia. urgencias sin novedades (Afectacion del 30%) - Cubiertas, techos | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR",ARO Sur - Cali
HOSP_023,76400,La Unión,Hospital Gonzalo Contreras,4.5369831,-76.1028532,CORREGIDA_VERIFICACION_WEB,Cra. 15 #19B-135. Se reemplazó un punto anómalo del directorio oficial.,20,Moderada,Hospital Gonzalo Contreras,"AGRIETAMIENTO EN CONSULTA EXTERNA, URGENCIAS, SERVICIOS. COLAPSO DE TECHO PARQUEADERO (Afectacion del 20%) | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR",ARO Norte - Cartago
HOSP_024,76403,La Victoria,Hospital Nuestra Señora de los Santos,4.524993,-76.037198,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,5,Baja,Hospital Nuestra Señora de los Santos,Afectacion de un 5% principalmente del piso 3. | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR,ARO Norte - Cartago
HOSP_025,76497,Obando,Hospital Local de Obando,4.577489,-75.973527,OFICIAL_DATOS_ABIERTOS,La fuente no asigna porcentaje de afectación.,,Sin porcentaje / pendiente,Hospital Local de obando,EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR | TANQUE DE RESERVA DE AGUA,ARO Norte - Cartago
HOSP_026,76520,Palmira,Hospital Raúl Orejuela Bueno,3.533236,-76.309089,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,30,Alta,Hospital Raul Orejuela Bueno | | IPS Gyo Medical,Hospital 30 % afectado Grieta afectando pediatria | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR | REUBICACION INTERNA DEL AREA DE PEDIATRIA,ARO Sur - Cali
HOSP_027,76563,Pradera,Hospital San Roque,3.41732,-76.244377,OFICIAL_DATOS_ABIERTOS,"La fuente describe incremento de fisuras previas al sismo, sin porcentaje.",,Sin porcentaje / pendiente,"ESE Hospital San Roque, IPS ASI, IPS Medicips, IPS Vivir, IPS CMR. IPS VIVIR presenta daño estructural, al igual que la ESE PUBLICA San Roque en el municipio de pradera presento incremento en las fisuras anteriores al sismo, al igual que perdida en su planta electrica durante el dia del sismo 10/08/2026",Sin necesidades prioritarias,ARO Sur - Cali
HOSP_028,76606,Restrepo,Hospital San José,3.825,-76.525,APROX_CABECERA_DIRECCION_CONFIRMADA,Calle 9 #15-10. Coordenada aproximada a cabecera; requiere precisión predial.,10,Moderada,Hospital San Jose,"10% de afectacion, sólo servicio de urgencia en función, externa cerrado. Sólo hasta noche reactivaron el servicio de energía un poco intermitente al igual que el internet. | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR",ARO Centro - Tuluá
HOSP_029,76616,Riofrío,Hospital Kennedy,4.157604,-76.288415,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,40,Alta,Hospital Kenedy | Puesto de Salud de Salónica,"40% de afectacion . Daño en techo del area de consulta extera, cuenta con evaluacion preliminar con ingreniero estructural con resultado postivo para la prestacion de todos los servicios, | Necesidades: sin energia en el puesto de salud en salonica donde cuenta con dos medicos diariamente. | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR",ARO Centro - Tuluá
HOSP_030,76622,Roldanillo,Hospital Departamental San Antonio,4.407986,-76.154324,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,80,Crítica,Hospital Departamental San Antonio,"Planta de energía, Hospital sin fluido eléctrico. | Combustible para Transporte asistencial | Se cayo el techo y un piso se levanto (Afectacion del 80%) | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR | 1 HOSPITAL DE CAMPAÑA | TANQUE DE RESERVA DE AGUA | 2 CARPAS GRANDES | LISTADO DE INSUMOS",ARO Norte - Cartago
HOSP_031,76670,San Pedro,Hospital Ulpiano Tascón,3.993833,-76.227415,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,0,Sin afectación reportada,Hospital Ulpiano Tascon,Sin necesidades prioritarias,ARO Centro - Tuluá
HOSP_032,76736,Sevilla,Hospital Departamental Centenario de Sevilla,4.278979,-75.934818,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,20,Moderada,Hospital Dptal Centenario de Sevilla,grietas (Afectacion del 20%) | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR,ARO Centro - Tuluá
HOSP_033,76823,Toro,Hospital Sagrada Familia,4.61238,-76.077632,OFICIAL_DATOS_ABIERTOS,La fuente no asigna porcentaje de afectación.,,Sin porcentaje / pendiente,Hospital Sagrada Familia,EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR | TANQUE DE RESERVA DE AGUA,ARO Norte - Cartago
HOSP_034,76828,Trujillo,Hospital Local Santa Cruz,4.214825,-76.319795,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,30,Alta,ESE HOSPITAL LOCAL SANTA CRUZ,"afectacion del 30% Averias estructurales, area de urgencias | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR",ARO Centro - Tuluá
HOSP_035,76834,Tuluá,Hospital Departamental Tomás Uribe Uribe,4.082662,-76.188325,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,20,Moderada,Hospital Dptal Tomas Uribe Uribe | Hospital Ruben Cruz Velez,"Hosp Tomas Uribe Afectación en paredes de consulta externa (Afectacion del 20%) - Hospital Ruben Cruz Velez, grietas minimas (Afectacion del 5%) | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR",ARO Centro - Tuluá
HOSP_036,76834,Tuluá,Hospital Rubén Cruz Vélez,4.093464,-76.20321,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,5,Baja,Hospital Dptal Tomas Uribe Uribe | Hospital Ruben Cruz Velez,"Hosp Tomas Uribe Afectación en paredes de consulta externa (Afectacion del 20%) - Hospital Ruben Cruz Velez, grietas minimas (Afectacion del 5%) | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR",ARO Centro - Tuluá
HOSP_037,76845,Ulloa,Hospital Pedro Sáenz Díaz,4.702046,-75.735849,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,10,Moderada,"Hospital Pedro Saenz,",estructura agrietada (Afectacion del 10%) | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR,ARO Norte - Cartago
HOSP_038,76863,Versalles,Hospital Henry Valencia Orozco,4.576226,-76.197165,OFICIAL_ALIAS_ANTERIOR_VERIFICADO,El directorio geográfico conserva el alias anterior Hospital San Nicolás; nombre actual verificado.,40,Alta,Hospital Henry Valencia Orozco,"afectacion en urgencias en el techo y grietas en paredes, en consultorio de citol ogia y auditorio(Afectación del 40%) | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR",ARO Norte - Cartago
HOSP_039,76869,Vijes,Hospital Francineth Sánchez Hurtado,3.699611,-76.442268,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,30,Alta,Hospital Francineth Sanchez,"Hospital Francineth Sanchez, Daños en estructura leves en la mayor parte de la institucion (afectacion del 30%) | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR",ARO Sur - Cali
HOSP_040,76890,Yotoco,Hospital Local de Yotoco,3.861671,-76.384918,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,70,Crítica,Hospital Local de Yotoco,"Hospital Local de Yotoco, AGRIETAMIENTO DE TODAS LAS COLUMNAS DEL PISO 2 (Afectacio del 70%). urgencias reubicada en el area de hospitalización con riesgo de colapso. | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR",ARO Centro - Tuluá
HOSP_041,76892,Yumbo,Hospital La Buena Esperanza,3.580891,-76.490548,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,0,Sin afectación reportada,Hospital La Buena Esperanza,Sin necesidades prioritarias,ARO Sur - Cali
HOSP_042,76895,Zarzal,Hospital Departamental San Rafael de Zarzal,4.386672,-76.072115,OFICIAL_DATOS_ABIERTOS,Registro público georreferenciado,10,Moderada,Hospital Departamental San Rafael de Zarzal,"El 10% de la insitución se encuentra afectada. TANQUE DE RESERVA DE AGUA, INSUMOS MEDICOS, requiere con urgencias apoyo con acuavalle porque está sin agua potable. | EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR | TANQUE DE RESERVA DE AGUA |",ARO Centro - Tuluá
